ACTI	AC	MBEP	CR	IC	IS	MBEA	EXTRA	SATLD	JOBSAT	GOAL	RETENT	QUIT	ACS	ALT.W	ALT.NW	ALT.P
2.67	4	1.43	3.33	3	4.2	2.86	2.33	3	4	4.17	4.75	1.67	2	4.5	4.25	4
2.97	3.88	1.86	3	4.22	4.6	3.86	2	4	4	3.5	3.25	1	2	4	3	4.75
3.47	4.75	2	4.67	4.22	4.2	3.71	3.33	3	4	4	4.25	1.33	2.5	5	4.75	4.75
2.88	4	2.29	3.33	4.11	4	3.86	3.33	4	5	4.83	5	1	4	4.75	5	4.5
1.61	2.63	2.71	2.89	2	3	1.71	0.67	1.5	4	4.17	3.5	1	1	3.75	3	3.5
3.58	4.63	2.86	4.78	4.67	4.3	4	3.33	4	5	4.5	3	1	2.75	4.5	4	5
0.85	2.38	4.71	1.33	2.11	1.6	1.86	0	0.5	5	2.33	3	4.5	5	4.25	3.75	4
1.06	1.88	3.57	2.22	2.11	2	2.57	0.33	1	4	4.33	4.33	1.17	2	4	2.75	4.5
1.23	2.13	3	2.22	2	2.6	2.43	1	1.5	4	4.67	5	1.67	4.5	4.5	3.25	4.75
2.86	4.38	1.14	3	4.11	3.9	3.29	3	4	4	3.33	2.75	1	2.25	4.75	4	4.75
2.62	3.5	2.14	3.33	3.67	3.9	3.86	2.33	3	4	4	4.25	1	2.5	4.25	3.75	4.75
2.37	4	2.14	2.89	3.44	3.1	2.71	2	3.5	5	3.67	3	1	2	4	4	3.75
2.5	3.63	2.14	3.11	3.78	3.5	3.14	2.5	3	4	4	3	1	3	4	3.5	3.5
2.35	3.88	1.86	2.44	3.78	3.3	2.86	2	3.5	4	4	3.25	1	2	4	4	3.5
2.53	3.88	2	2.78	3.67	3.7	3.14	3.67	4	5	4.33	2.5	1	4.5	5	3.5	5
2.33	3.63	2.14	2	3.22	4.4	2.43	3.67	3.5	4	3.83	3.5	1	1.75	3.75	2.25	4
0.21	1.38	2.43	1.11	1.11	1.3	3.14	0.67	0	2	1.83	2.5	1.33	1	3	2	3.25
2.55	3	1.86	3.11	4.22	3.7	3.14	3.33	3	5	4.5	4	1	2.25	4.75	3.5	5
2.19	3.5	2.71	3.11	3.22	2.9	3.43	2	2.5	4	3.33	3.5	1.67	1.5	3.33	3.5	3.75
3.22	4.5	1.71	4.22	4.22	3.9	3.29	4	4	5	4.5	4.75	1	2.5	4.25	4.5	4.5
2.69	4	1.57	2.56	3.78	4.4	3.57	2	3	5	4.5	4.25	1	3	4	2.75	4.25
1.51	2.38	3	2.33	2.44	2.9	3.86	1.67	3	4	4	4	3	1.5	3.5	3.5	4
2.88	4.13	1.57	3.67	3.44	4.2	3.29	2.33	3	4	3.67	4.5	1.17	2.25	4	3.25	3.75
1.65	2.5	3.29	2.33	2.78	3	2.57	0.33	1	5	4.5	4.25	1	3.25	5	5	3.75
2.72	3.38	1.43	3.67	3.89	3.9	2.57	2.67	3	4	4	3.75	1	3.25	4	4	4
2.59	4	2.14	3.22	3.33	3.7	4.29	2	3	5	4.5	4.75	1	2.25	4.5	4	5
2.24	3.13	2.29	3	3.22	3.6	3	1.67	3	5	4	3.25	1	2.75	4.75	3.5	4.5
2.7	3.25	1.86	2.89	4	4.6	3.43	2.33	3.5	4	4	3.25	1	4	4.25	4.25	4.75
1.98	3.13	1.71	2.11	3	3.6	3.29	1	2	4	3.17	3.5	1	#NUL!	#NUL!	#NUL!	#NUL!
1.81	3.5	2.29	2.22	2.78	2.6	3.14	2.33	3.5	5	4.17	3.75	1.5	2.5	4.75	3.75	4.25
1.51	3	3.14	1.78	2.67	2.5	3.14	2	3	4	4.17	5	1.17	3	4.75	4.5	4.75
1.93	2.88	2.29	2.89	2.78	3.2	3.14	1.33	3	4	3.5	3.25	1	1	3	2	3.5
2.31	3.13	2	3.11	3	4	3.86	2.33	4	5	4.5	4	1	2.75	4.5	3.25	4
3.01	3.63	2.14	3.78	4	4.5	2.57	2.33	3	4	4.17	3.5	1	3.5	4.75	4.75	4.25
